year;JP;US;DE;KR;FR;TW;IT;CA;GB;unknown;SE;FI;NL;CH;CN;NO;AU;IL;ES;NZ;HK;HU;RU;BE;CZ;DK;MY;ZA;BS;AT;IE;UA;LI;SH;IR;IN;JO;MA;CL;LU;PL;RO;SI;BG;DZ;MX;KY;LB;EE;TH;NE;SK;BR;SG;AL;GE;CR;TN;SA;PH;LR;HR;MT;BB;PA;UZ;TR;ID;NI;GR;IS;AR;VG;VE;EG;MH;RS;PK;PT;AN;KP;JE;PE;LV;DM;DO;ML;MM;BA;AM;VN;BY;AE;CO;LK;TZ;LC;KN;CS;CY;LT;AD;CM;KE;NA;AZ;GY;KG;KZ;KH;GF;NP;BD;BW;QA;NG;SL;GL;MO;KW;MC;ET;MK;NC;SC;ZM;GH;SN;LA
2000;420.40479797979606;206.90495920201747;98.13919519027127;58.80591630591646;32.085497835497804;23.69215686274511;18.69607843137254;16.464285714285715;15.882575757575754;13.0;8.696078431372547;8.68181818181818;7.999999999999999;7.744978479196556;6.161829836829837;5.9999999999999964;5.285714285714284;3.0909090909090913;2.9999999999999996;2.7333333333333325;2.172727272727273;2.0;1.7142857142857142;1.4666666666666666;1.0;1.0;1.0;0.9999999999999998;0.8999999999999999;0.8333333333333333;0.5;0.4242424242424242;0.3333333333333333;0.3333333333333333;0.22916666666666666;0.20952380952380953;0.16666666666666666;0.14705882352941177;0.09953703703703703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2001;528.5904761904775;240.41691015085604;104.90902611880864;81.55119047619087;35.891897081413184;17.33333333333333;8.066666666666666;17.690240459168344;19.190018315018314;14.0;11.166666666666668;6.000000000000002;12.520114667940753;7.716666666666667;13.43809523809524;0.14285714285714285;6.499999999999998;6.000000000000001;3.7499999999999996;1.9999999999999998;0.9727272727272728;1.0;3.071428571428571;1.0;0.0;5.266666666666671;0.0;4.000000000000001;0.5;4.666666666666667;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.9999999999999999;0.5714285714285714;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2002;508.6172785547773;197.00301719499777;117.17189754689751;82.56250000000037;32.87777777777778;28.62698412698412;14.242424242424244;16.55973748473748;21.912973137973136;8.0;12.401798830100706;2.5;9.869047619047624;5.027027027027029;14.701068376068367;0.0;11.699999999999998;3.0000000000000004;6.733333333333333;7.000000000000001;5.202472527472526;1.0;2.1597484276729575;1.0694444444444444;0.5555555555555556;1.9999999999999998;0.0;3.7666666666666666;0.0;7.399999999999998;0.0;3.7814016172506744;0.05660377358490566;0.0;0.0;0.25;0.0;0.0;0.07692307692307693;1.0833333333333333;0.3333333333333333;0.0;0.9999999999999999;0.0;0.0;0.9999999999999998;0.16666666666666666;0.16666666666666666;0.11320754716981131;0.1111111111111111;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2003;494.5546536796499;218.27075735077688;119.8447596485645;71.99404761904788;34.28129713423834;66.08452380952384;6.681818181818184;26.5552711177711;18.94816433566433;7.0;10.974025974025968;4.09090909090909;10.961904761904758;8.09090909090909;28.030194805194807;2.8484848484848486;9.0;3.125;7.833333333333336;2.617647058823529;2.6428571428571423;1.0;4.340909090909093;1.75;0.14285714285714285;4.205882352941177;1.0;3.499999999999999;1.0;3.794871794871791;3.4761904761904767;4.597619047619048;0.5;0.0;0.0;5.833333333333336;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;1.0;0.0;0.0;0.2159090909090909;0.2727272727272727;0.0;0.0;0.6704545454545455;0.0;0.2;2.0;0.7;0.16666666666666666;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2004;538.0142857142829;217.97424861913422;130.05782828282818;100.68418803418828;40.40043290043288;39.903787878787874;21.54285714285713;25.644209956709954;32.48273996118828;17.0;11.45263157894737;1.4235294117647062;10.588888888888889;14.1375;29.100706646294878;1.0;3.1379310344827593;2.0;0.9999999999999999;4.0404040404040416;4.541666666666667;1.0;2.4913620988367287;3.4242424242424243;1.1625;6.4;0.18181818181818182;0.0;3.0;4.5500000000000025;1.75;7.749999999999994;0.0;0.0;0.0;1.2499999999999998;0.0;0.0;0.0;0.0;1.0;3.1007936507936504;0.0;0.125;0.14285714285714285;0.0;0.25;0.0;0.0;0.5;0.0;0.0;0.0;1.4166666666666665;0.0;0.0;1.0;1.0;0.2;0.1;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2005;658.6173812298796;274.93031175219284;129.3251554001556;173.5035103785098;33.04444444444444;77.4222222222221;20.766386554621842;35.861111111111086;20.993764057579853;14.0;2.4385964912280707;3.3000000000000003;9.947197539302797;9.776129426129424;62.60049485538627;2.333333333333333;4.84965034965035;6.142857142857143;4.055555555555555;2.333333333333333;2.6523809523809527;0.1875;3.09313725490196;3.400000000000001;1.2142857142857142;5.366666666666665;2.2460317460317456;2.0;2.4166666666666665;6.449999999999997;0.34090909090909094;5.538095238095235;0.0;0.0;0.0;0.5667545015371103;0.0;1.0;0.125;0.0;0.16666666666666666;1.3095238095238093;0.7999999999999999;0.0;1.0;1.0434782608695652;0.0;0.0;0.0;0.95;0.0;0.0;0.0;2.9999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.875;0.5;0.2;0.14285714285714285;0.1111111111111111;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2006;728.0507423132464;309.7319382343994;161.25330806963925;330.4356060606061;68.89761904761917;86.85000000000011;10.587499999999997;32.67176108915238;23.24166666666668;26.0;8.0;5.8125;16.648809523809526;12.85606060606061;100.94083416583426;2.285714285714287;3.7936507936507935;4.428571428571429;7.45;3.0000000000000004;8.62063492063492;1.0;7.065476190476188;3.5333333333333337;1.8232323232323235;6.006410256410257;0.33333333333333337;0.2222222222222222;1.5;8.08831168831169;2.0;3.8750000000000027;0.0;0.0;0.1;2.153113553113553;0.0;0.0;0.0;0.5;1.7192982456140353;0.7361111111111112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;1.0;2.9603174603174605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.42857142857142855;0.0;0.0;0.0;0.06666666666666667;0.3333333333333333;0.25;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2007;814.3786130106581;385.32648133672143;158.33893133010773;277.213480392155;62.937301587301675;95.20912698412702;13.636343700159493;35.98480038480038;39.068831392206036;27.0;12.96111111111113;13.766666666666666;9.359096225412008;11.84047619047618;103.32006983814253;5.608333333333331;2.0396825396825395;5.2695012787723785;9.125000000000002;3.6666666666666674;4.360317460317461;5.515151515151512;5.65;2.904166666666667;0.0;3.241666666666667;0.16993464052287582;3.5000000000000004;0.0;11.464869281045758;0.8125;5.293055555555555;0.0;0.0;0.0;2.507299044713232;0.2222222222222222;0.0;0.16666666666666666;1.0;0.0;2.0666666666666664;3.000000000000001;0.058823529411764705;0.0;1.083333333333333;0.0;0.0;0.0;1.2666666666666668;0.0;0.0;2.1111111111111116;5.566666666666667;0.0;0.0;0.0;0.0;0.0;1.1111111111111112;0.0;0.0;0.0;0.0;0.0;0.25;0.9999999999999998;0.0;0.0;0.18181818181818182;0.0;0.6666666666666666;0.3333333333333333;0.23529411764705882;0.16666666666666666;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2008;943.4150849150928;441.72939643689534;176.37152403152442;262.3209956709966;91.62253302253288;136.68852813852814;22.10470085470085;28.708340270840257;38.3738455988456;61.0;16.160317460317465;14.104761904761897;22.472247197247203;14.176028138528125;109.26731990231993;0.0;8.646103896103899;12.399999999999997;11.5547619047619;3.138095238095238;5.083333333333335;0.16666666666666666;5.7378787878787865;5.938888888888889;0.8055555555555556;10.17136752136752;2.166666666666667;0.5454545454545455;0.0;14.949999999999994;2.333333333333333;2.0000000000000004;0.0;0.0;0.0;4.326994949494949;0.6111111111111112;0.0;0.0;0.0;1.9166666666666659;2.7376373626373627;0.14285714285714285;0.08333333333333333;0.1;0.0;0.45238095238095233;0.0;0.0;0.0;0.0;0.0;2.1916666666666664;4.610714285714286;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.06666666666666667;1.0;0.0;0.0;0.0;0.0;0.41666666666666663;0.0;0.16666666666666669;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.14285714285714285;0.125;0.09090909090909091;0.09090909090909091;0.08333333333333333;0.045454545454545456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2009;1007.258560282182;485.2844752059991;263.3866050616061;285.96668831168773;89.09694948154701;149.03672268907584;33.00307422046549;41.49808426867255;37.8216874407862;77.0;21.3756313131313;13.999999999999998;15.226483118330938;21.146685340802986;149.60080156771335;2.25;4.644444444444444;17.257936507936492;7.77083333333333;1.0;4.4855921855921865;0.738095238095238;9.681442577030811;12.529824561403512;3.019607843137255;4.2250000000000005;3.991666666666667;1.0;0.0;17.531890331890338;1.1818181818181817;4.410714285714287;0.0;0.0;0.0;6.568923636188552;0.0;0.6666666666666666;0.1;0.6666666666666666;1.3666666666666667;2.805158730158731;0.9999999999999999;0.5333333333333333;0.0;1.0;0.0;0.1111111111111111;0.0;0.08;0.0;0.0;1.0;2.301190476190476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.3333333333333333;0.0;0.0;0.0;6.000000000000003;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.9999999999999999;0.0;0.0;0.0;0.0;1.0;0.5;0.5;0.3333333333333333;0.14285714285714285;0.125;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
